symbol
BTC-USD
ETH-USD
SOL-USD
SHIB-USD
AVAX-USD
ADA-USD
MATIC-USD
GALA-USD
ATOM-USD
MANA-USD
LINK-USD
USDT-USD
DOGE-USD
LTC-USD
DOT-USD
LRC-USD
ALGO-USD
WLUNA-USD
XLM-USD
ICP-USD
