sequence,total,buy,short,hold
"[3, 2, 1, 1, 1, 0, 0]",38,23,0,15
"[0, 0, 1, 2, 2, 2, 2]",44,44,0,0
"[1, 1, 0, 0, 1, 1, 2]",27,27,0,0
"[0, 0, 1, 1, 2, 2, 2]",49,49,0,0
"[0, 1, 1, 1, 2, 2, 2]",34,34,0,0
"[0, 0, 1, 1, 1, 2, 2]",50,50,0,0
"[0, 0, 0, 0, 1, 2, 2]",32,32,0,0
"[0, 0, 0, 1, 1, 2, 2]",52,52,0,0
"[0, 0, 1, 1, 1, 1, 2]",43,43,0,0
"[3, 3, 2, 2, 2, 1, 1]",42,0,42,0
"[3, 3, 2, 2, 2, 2, 1]",23,0,23,0
"[0, 1, 1, 1, 1, 1, 2]",41,41,0,0
"[0, 1, 1, 2, 2, 2, 2]",29,29,0,0
"[0, 1, 1, 1, 1, 2, 2]",27,27,0,0
"[3, 2, 2, 2, 2, 1, 1]",28,0,28,0
"[0, 1, 2, 2, 2, 2, 2]",34,34,0,0
"[0, 0, 0, 1, 1, 1, 2]",36,36,0,0
"[3, 3, 3, 2, 1, 1, 1]",29,0,29,0
"[0, 0, 0, 0, 0, 1, 2]",22,22,0,0
"[3, 3, 2, 1, 1, 1, 1]",33,0,33,0
"[3, 3, 3, 2, 2, 1, 1]",34,0,34,0
"[3, 2, 1, 1, 1, 0, 0]",38,23,0,15
"[3, 3, 2, 2, 1, 1, 1]",39,0,39,0
"[0, 0, 0, 1, 2, 2, 2]",45,45,0,0
"[3, 2, 1, 1, 1, 0, 0]",38,23,0,15
"[3, 3, 3, 2, 2, 2, 1]",21,0,21,0
"[2, 3, 3, 2, 2, 1, 1]",22,0,22,0
"[0, 0, 0, 0, 1, 1, 2]",33,33,0,0
"[3, 2, 2, 2, 2, 2, 1]",22,0,22,0
"[1, 0, 0, 0, 1, 2, 2]",21,21,0,0
"[1, 1, 1, 0, 0, 1, 2]",21,21,0,0
"[3, 2, 2, 1, 1, 1, 1]",30,0,30,0
"[3, 2, 1, 1, 1, 0, 0]",38,23,0,15
